description,amount,currency,paid_by,group_name,split_type,expense_date,participants
Dinner at Olive,1200.00,INR,Aisha,Goa Trip,equal,2024-01-10,"Aisha,Rohan,Priya"
Hotel booking,5000.00,INR,Rohan,Goa Trip,equal,2024-01-10,"Aisha,Rohan,Priya,Meera,Dev"
Flight tickets,8500.00,INR,Priya,Goa Trip,exact,2024-01-08,"Aisha:2000,Rohan:2000,Priya:2500,Meera:2000"
Taxi to airport,800.00,INR,Meera,Goa Trip,equal,2024-01-08,"Aisha,Rohan,Priya,Meera"
Conference lunch,45.00,USD,Dev,Office Group,equal,2024-01-15,"Dev,Sam,Aisha"
Coffee run,320.00,INR,Sam,Office Group,percentage,2024-01-16,"Sam:40,Dev:35,Aisha:25"
Dinner at Olive,1200.00,INR,Aisha,Goa Trip,equal,2024-01-10,"Aisha,Rohan,Priya"
Team dinner,,INR,Rohan,Office Group,equal,2024-01-17,"Rohan,Dev,Sam"
Groceries,950.00,EUR,Priya,Goa Trip,equal,2024-01-11,"Aisha,Rohan,Priya,Meera"
Rohan paid back Aisha,500.00,INR,Rohan,Goa Trip,equal,2024-01-12,"Rohan"
Snacks,150.00,INR,,Goa Trip,equal,2024-01-10,"Aisha,Rohan"
Museum tickets,600.00,INR,Dev,Weekend Trip,equal,2024-01-13,"Dev,Sam"
Boat ride,2400.00,INR,Aisha,Goa Trip,percentage,2024-01-11,"Aisha:50,Rohan:30,Priya:15"
Lunch at beach,780.00,INR,Meera,Goa Trip,equal,2024-01-11,"Aisha,Rohan,Priya,Meera,Dev"
Sunscreen,450.00,INR,Priya,Goa Trip,exact,2024-01-10,"Aisha:200,Rohan:100,Priya:100"
Late night snacks,300.00,INR,Dev,Goa Trip,equal,2026-12-25,"Dev,Aisha,Rohan"
Water sports,3500.00,INR,Sam,Goa Trip,equal,2024-01-11,"Aisha,Rohan,Priya,Meera,Dev,Sam"
Office supplies,1200.00,INR,Aisha,Office Group,equal,2024-01-18,"Aisha,Dev,Sam"
Parking,200.00,INR,Rohan,Goa Trip,equal,2024-01-12,"Aisha,Rohan,Priya"
Conference tickets,120.00,USD,Dev,Office Group,percentage,2024-01-20,"Dev:50,Sam:50"
Bus tickets,-150.00,INR,Priya,Goa Trip,equal,2024-01-09,"Aisha,Rohan,Priya,Meera"
Breakfast,450.00,INR,Aisha,Goa Trip,equal,2024-01-11,"Aisha,Rohan,Priya,Meera,Dev"
Team outing,2000.00,INR,Sam,Office Group,equal,2024-01-22,"Sam,Dev,Aisha"
Dinner,five hundred,INR,Rohan,Goa Trip,equal,2024-01-12,"Aisha,Rohan"
Ice cream,280.00,INR,Meera,Goa Trip,equal,2024-01-11,"Aisha,Rohan,Priya,Meera"
